critic,fresh,imdb,publication,quote,review_date,rtid,title
Doug Thomas,rotten,117723,Seattle Times,"Spy Hard just comes off as a long commercial. And yes, that means most of the best moments you've seen in the movie's trailer.",4/06/2013,11065,Spy Hard
Jay Boyar,fresh,117723,Orlando Sentinel,"More of a cinematic joke book than a real movie, Spy Hard hits you with gags faster than Henny Youngman on speed. Even when individual bits misfire, the unrelenting barrage of silliness can break down your resistance.",4/06/2013,11065,Spy Hard
Owen Gleiberman,rotten,117723,Entertainment Weekly,"Spy Hard is a loose send-up of the Bond series and other overly expensive action flicks, but after Hot Shots! Part Deux and National Lampoon's Loaded Weapon 1 who needs another action parody?",7/09/2011,11065,Spy Hard
Rita Kempley,rotten,117723,Washington Post,"Never mind that the smutty, high-tech 007 capers already wink at the conventions of the bikini-clad, gizmo-strewn genre. If the martini is shaken, not stirred, why beat it to death with a swizzle stick?",6/07/2010,11065,Spy Hard
Variety Staff,rotten,117723,Variety,"The picture that will test the durability of Leslie Nielsen's lowbrow franchise, Spy Hard sticks closely to the Naked Gun formula. Not only is the formula itself wearing thin, but the gags themselves feel recycled.",26/03/2009,11065,Spy Hard
Derek Adams,rotten,117723,Time Out,Like Hot Shots! there's the same mistaken belief that simply tagging other films will be intrinsically funny...,24/06/2006,11065,Spy Hard
Mick LaSalle,rotten,117723,San Francisco Chronicle,"Nielsen, with his expert deadpan and sense of comic timing, creates the illusion of humor -- for about 15 minutes.",18/06/2002,11065,Spy Hard
David Kronke,rotten,117723,Los Angeles Times,This movie unfortunately wastes a perfectly promising idea -- satirizing James Bond films along with any other pop-culture celluloid phenomenon that crosses the filmmakers' minds.,14/02/2001,11065,Spy Hard
James Berardinelli,rotten,117723,ReelViews,A dreadfully unfunny comedy that takes Naked Gun-like sketches and rehashes them without a whit of style or energy.,1/01/2000,11065,Spy Hard
Stephen Holden,rotten,117723,New York Times,"When Spy Hard abruptly ends after only 81 minutes, you sense that it has used up every last round of available ammunition. It was simply exhausted and couldn't move another inch.",1/01/2000,11065,Spy Hard
Andy Seiler,rotten,117723,USA Today,You won't laugh hard at Spy Hard. And that's not because the jokes aren't funny. Most of them aren't even jokes.,1/01/2000,11065,Spy Hard
Bosley Crowther,fresh,40366,New York Times,"For all its unpleasant nature, it must be said that this film is a dynamic crime-and-punishment drama, brilliantly and broadly realized.",8/08/2006,11817,Force of Evil
Don Druker,fresh,40366,Chicago Reader,"A poetic, terse, beautifully exact, and highly personal re-creation of the American underworld, with an unpunctuated Joycean screenplay by Polonsky that is perhaps unique in the American cinema.",1/01/2000,11817,Force of Evil
Geoff Andrew,fresh,115571,Time Out,"What it lacks in sophistication (everything), it partly makes up for in sheer gall.",9/02/2006,12510,The Arrival
Mick LaSalle,fresh,115571,San Francisco Chronicle,"It's a strong, lean piece of writing that moves quickly. Nothing is wasted, and nothing happens the way you'd expect.",18/06/2002,12510,The Arrival
Stephen Holden,fresh,115571,New York Times,A movie that shoehorns a blunt warning into its silly but entertaining story of a young radio astronomer's one-man battle against sinister extraterrestrials.,1/01/2000,12510,The Arrival
Roger Ebert,fresh,115571,Chicago Sun-Times,The movie is as smart as ``Mission: Impossible'' is dumb.,1/01/2000,12510,The Arrival
James Berardinelli,fresh,115571,ReelViews,"This is not a dumb movie; in fact, with its heavy reliance upon real science, it's startlingly credible.",1/01/2000,12510,The Arrival
Lisa Schwarzbaum,rotten,115571,Entertainment Weekly,[Sheen] spends most of the movie in a kind of sweaty apoplexy that makes one worry for his health.,31/05/1996,12510,The Arrival
Jonathan Rosenbaum,fresh,103926,Chicago Reader,"In part a hilarious satire about Canadian timidity, it also comes across periodically as a formalist gem about nothing at all.",8/05/2007,770681138,Careful
,fresh,103926,Time Out,"Uniquely weird, subtly macabre, and utterly compelling.",24/06/2006,770681138,Careful
Stephen Holden,fresh,103926,New York Times,"Careful is one long and amusing pun on German Expressionistic film imagery, Freudian psychology and quasi-Wagnerian storytelling, all carried to absurdist lengths.",20/05/2003,770681138,Careful
Desson Thomson,rotten,103926,Washington Post,There's something wonderfully unique about the project but the reasons for doing it remain buried.,1/01/2000,770681138,Careful
Hal Hinson,fresh,103926,Washington Post,"Careful, the hilariously bizarre new film from Canadian director Guy Maddin, is like some lost masterpiece from a time-warped alternative dimension -- a strange artifact that time forgot.",1/01/2000,770681138,Careful
Mike Clark,fresh,113849,USA Today,Vanessa Redgrave has never been more likable on screen than in her buoyantly athletic turn here.,1/01/2000,10826,A Month by the Lake
Susan Wloszczyna,rotten,113188,USA Today,"Dig if you must, but this is fool's gold.",1/01/2000,339165985,Gold Diggers: The Secret of Bear Mountain
Mike Clark,fresh,110480,USA Today,"No masterpiece, but a portrait worthy of the extraordinary woman it salutes.",1/01/2000,18749,Maya Lin: A Strong Clear Vision
Susan Wloszczyna,rotten,117765,USA Today,Moore's body is in better shape than her acting.,1/01/2000,17196,Striptease
Variety Staff,fresh,88258,Variety,"For music biz insiders, This Is Spinal Tap is a vastly amusing satire of heavy metal bands.",26/03/2009,15894,This Is Spinal Tap
Richard Corliss,fresh,88258,TIME Magazine,"For all its japes and jokes, the movie is really about exhaustion of the spirit: sitting in a bleak hotel suite at 4 a.m. with the bad taste of last night in the mouth and the feeling that tomorrow will not be a better day.",19/08/2008,15894,This Is Spinal Tap
Dave Kehr,rotten,88258,Chicago Reader,"The material is consistently clever and funny, though ultimately the attitudes are too narrow to nourish a feature-length film.",17/12/2007,15894,This Is Spinal Tap
Geoff Andrew,fresh,88258,Time Out,"Reiner's brilliantly inventive script and smart visuals avoid all the obvious pitfalls, making this one of the funniest ever films about the music business.",9/02/2006,15894,This Is Spinal Tap
Janet Maslin,fresh,88258,New York Times,It stays so wickedly close to the subject that it is very nearly indistinguishable from the real thing.,20/05/2003,15894,This Is Spinal Tap
James Berardinelli,fresh,88258,ReelViews,"The film is a composite of classic moments, all of which we sense could have happened to any of the classic heavy metal bands -- or at least to those whose members combined delusions of greatness with low I.Q.s.",15/08/2002,15894,This Is Spinal Tap
Jessica Winter,fresh,88258,Village Voice,This Is Spinal Tap doesn't pull punches...,16/08/2001,15894,This Is Spinal Tap
Roger Ebert,fresh,88258,Chicago Sun-Times,"The satire has a deft, wicked touch.",1/01/2000,15894,This Is Spinal Tap
,rotten,116669,USA Today,Someone deserves a timeout for letting this mawkish misfire get to the screen.,1/01/2000,11583,Jack
Mike Clark,fresh,116594,USA Today,"Though this terrifically cast movie may prove a tad too detached even for some members of its targeted audience, it covers remarkable ground in less than two hours.",1/01/2000,15090,I Shot Andy Warhol
Daniel M. Kimmel,fresh,113211,Variety,Helmer Charles Matthau combines a sensitive screenplay adaptation of Truman Capote's autobiographical novel with a wonderful ensemble cast to create a jewel of a film.,29/04/2005,11869,The Grass Harp
Mike Clark,rotten,113211,USA Today,"Star power isn't a problem in this episodic rendering of Truman Capote's novel. A scattershot story without focus is, which is why the film soon evaporates from the memory.",1/01/2000,11869,The Grass Harp
V.A. Musetto,rotten,450188,New York Post,"The Israeli documentary Stalags, by Ari Libsker, should be subtitled, How To Turn a Sexy Subject Into a Boring Film.",9/04/2008,770767442,La môme
Laura Kern,rotten,450188,New York Times,"Stalags carries this line of inquiry forward, cramming an overwhelming amount of information and ideas into its 63 minutes -- not nearly enough time to explore satisfactorily all that it raises.",9/04/2008,770767442,La môme
Ronnie Scheib,rotten,450188,Variety,"Unfortunately, Ari Libsker's hour-plus docu on this potentially mind-boggling topic meanders disconnectedly, as various experts, collectors and storytellers kick around anecdotes and theories that tend to cancel each other out.",8/04/2008,770767442,La môme
J. Hoberman,fresh,450188,Village Voice,"However artless its presentation, Stalags imparts material that's difficult to shake off and impossible to dismiss.",8/04/2008,770767442,La môme
,rotten,63715,Time Out,Only Fellini (Toby Dammit) really manages to make much of his source.,9/02/2006,22562,Histoires extraordinaires
Vincent Canby,fresh,63715,New York Times,"[Toby Dammit] is marvelous: a short movie but a major one. The Vadim is as overdecorated and shrill as a drag ball, but still quite fun, and the Malle, based on one of Poe's best stories, is simply tedious.",9/05/2005,22562,Histoires extraordinaires
Jay Boyar,fresh,117951,Orlando Sentinel,Trainspotting's saving grace is that there's a heck of a lot of entertainment value in this particular form of shallowness.,26/06/2013,16743,Trainspotting
Steven Rea,fresh,117951,Philadelphia Inquirer,"Trainspotting, buoyed by a great Brit Pop soundtrack and Brian Tufano's agile cinematography, captures the stoned-out, gut-churning experience of hardcore addiction with hallucinogenic acuity.",26/06/2013,16743,Trainspotting
Michael Wilmington,fresh,117951,Chicago Tribune,"Trainspotting is a searing pop-art portrait of a lost generation blowing out its brains. As they rail, chuckle, shout and dive into darkness, you're trapped yourself between a bellylaugh and a scream.",26/06/2013,16743,Trainspotting
Richard Corliss,fresh,117951,TIME Magazine,"The film is about joy -- in conniving and surviving, in connecting with audiences, in its own fizzy, jizzy style. And that's why, compared with it, most other films look zombified.",26/06/2013,16743,Trainspotting
Hal Hinson,fresh,117951,Washington Post,"A cocktail of scuzzy charm, nerve and despair that seduces and repulses in nearly equal proportions. It packs a jolt, all right. But it leaves you with a brutal hangover, too.",26/06/2013,16743,Trainspotting
Owen Gleiberman,fresh,117951,Entertainment Weekly,"It would be hard to imagine a movie about drugs, depravity, and all-around bad behavior more electrifying than Trainspotting.",7/09/2011,16743,Trainspotting
Derek Elley,fresh,117951,Variety,"Scabrous, brutal and hip, Trainspotting is a Clockwork Orange for the '90s.",7/07/2010,16743,Trainspotting
,fresh,117951,Time Out,"This may not have the weight of 'Great Art', but it crystallises youthful disaffection with the verve of the best and brightest pop culture. A sensation.",9/02/2006,16743,Trainspotting
Liam Lacey,fresh,117951,Globe and Mail,"The experience of watching Trainspotting -- the electric, nasty and slick descent into the milieu of young Scottish junkies -- is a little like speeding through the digestive tract of some voracious beast.",12/04/2002,16743,Trainspotting
Peter Travers,fresh,117951,Rolling Stone,"Trainspotting is a singular sensation, a visionary knockout spiked with insight, wild invention and outrageous wit.",12/05/2001,16743,Trainspotting
Kenneth Turan,fresh,117951,Los Angeles Times,"Exuberant and pitiless, profane yet eloquent, flush with the ability to create laughter out of unspeakable situations, ""Trainspotting"" is a drop-dead look at a dead-end lifestyle that has all the strength of its considerable contradictions.",14/02/2001,16743,Trainspotting
Jonathan Rosenbaum,fresh,117951,Chicago Reader,"Far from nihilistic, though certainly calculated to butt up against various puritanical norms, [the film is a] feel-good jaunt about young Scottish heroin addicts and their degradation and betrayals of one another.",1/01/2000,16743,Trainspotting
James Berardinelli,fresh,117951,ReelViews,"This isn't an examination of the Scottish drug culture from the outside looking in, it's one from the inside looking out.",1/01/2000,16743,Trainspotting
Charles Taylor,fresh,117951,Salon.com,"Hip, brutally honest and humane...",1/01/2000,16743,Trainspotting
Roger Ebert,fresh,117951,Chicago Sun-Times,"The movie has been attacked as pro-drug and defended as anti-drug, but actually it is simply pragmatic. It knows that addiction leads to an unmanageable, exhausting, intensely uncomfortable daily routine, and it knows that only two things make it bearable",1/01/2000,16743,Trainspotting
Janet Maslin,fresh,117951,New York Times,"For better or worse, sometimes strictly for the sake of shock value, the stylish irreverence of ""Trainspotting"" mimics that drug high and delivers its own potent kick.",1/01/2000,16743,Trainspotting
Mick LaSalle,fresh,117951,San Francisco Chronicle,"This is not dour social realism. It's a shot- from-a-cannon youth movie, with likable young people sticking needles in their arms in working-class Edinburgh.",1/01/2000,16743,Trainspotting
Mike Clark,fresh,117951,USA Today,"...rapid-fire youth-culture freak show: random sex, in-your-face scatology, senseless violence and rampant profanity delivered in haggis-thick brogues.",1/01/2000,16743,Trainspotting
Stanley Kauffmann,rotten,117951,The New Republic,"A few patches are subtitled, but the general effect is of watching an opera without having read the libretto.",1/01/2000,16743,Trainspotting
Lisa Alspector,rotten,118523,Chicago Reader,"With its clotted script, art direction that's all splash and no style, and dialogue that's too nakedly calculated to facilitate identification), this tedious and confused movie points several characters in obvious directions.",28/07/2009,12284,'Til There Was You
Leonard Klady,rotten,118523,Variety,"A tired piece of romantic cornball fare that harks back to a bygone era, the film is a badly conceived, poorly executed fairy tale guaranteed to make audiences squirm in their seats.",26/03/2009,12284,'Til There Was You
Jack Mathews,rotten,118523,Los Angeles Times,"Tripplehorn and McDermott are likable enough in their roles, but Holzman's precious, overwritten script gives them few genuinely honest moments.",14/02/2001,12284,'Til There Was You
Roger Ebert,rotten,118523,Chicago Sun-Times,"Here is the most tiresome and affected movie in many a moon, a 114-minute demonstration of the Idiot Plot, in which everything could be solved with a few well-chosen words that are never spoken.",1/01/2000,12284,'Til There Was You
Andy Seiler,rotten,118523,USA Today,A fragmentary and amateurish fairy tale.,1/01/2000,12284,'Til There Was You
Ruthe Stein,rotten,118523,San Francisco Chronicle,Tripplehorn and McDermott don't look as if they belong together and aren't strong enough actors to overcome their physical incompatibility. So there's no sense of urgency about them getting together.,1/01/2000,12284,'Til There Was You
James Berardinelli,rotten,118523,ReelViews,"The payoff, such as it is, is distressingly anticlimactic, and results in frustration.",1/01/2000,12284,'Til There Was You
Janet Maslin,rotten,118523,New York Times,Winnie Holzman's screenplay is uneven.,1/01/2000,12284,'Til There Was You
Bruce Fretts,rotten,118523,Entertainment Weekly,The studio left this alleged romantic comedy sitting on the shelf for a year -- and it didn't improve with age.,30/05/1997,12284,'Til There Was You
Carol Buckland,fresh,116629,CNN.com,Splendidly cheesy entertainment.,5/03/2008,11591,Independence Day
Lisa Schwarzbaum,fresh,116629,Entertainment Weekly,"It's the first futuristic disaster movie that's as cute as a button. Which, when all the special effects blow over, is what we Americans like in a monster hit.",5/03/2008,11591,Independence Day
David Ansen,fresh,116629,Newsweek,"If I were a 10-year-old boy, I'd probably think it was the coolest movie going.",5/03/2008,11591,Independence Day
Todd McCarthy,fresh,116629,Variety,As unavoidably entertaining as it is hopelessly cornball.,5/03/2008,11591,Independence Day
Rita Kempley,rotten,116629,Washington Post,Maybe the moviemakers' mission was to boldly go where everyone in Hollywood has gone before: the bank.,5/03/2008,11591,Independence Day
Jonathan Rosenbaum,fresh,116629,Chicago Reader,"The earnestness, the effects, and the notion of a whole world forgetting its differences to defeat a common foe carry a certain charm.",5/03/2008,11591,Independence Day
,fresh,116629,Time Out,"Everything feels anti-climactic after the fireworks, but the moral is clear: it's the end of the world as we know it. And we feel fine.",9/02/2006,11591,Independence Day
Mick LaSalle,fresh,116629,San Francisco Chronicle,"The picture is ultimately fun, thanks mostly to the colorful characters and the mock-hero ic spirit that kicks in full-throttle after the world has almost been destroyed.",18/06/2002,11591,Independence Day
Kenneth Turan,fresh,116629,Los Angeles Times,"So much about ID4 is so old it's inevitable that homesick audiences, eager for familiar scenarios, will embrace it as if it's nothing but new.",14/02/2001,11591,Independence Day
Caryn James,fresh,116629,New York Times,"The film has a genial it's-only-a-movie attitude that sets it apart, quite emphatically, from other blockbuster action movies.",1/01/2000,11591,Independence Day
Kevin McManus,rotten,116629,Washington Post,"As for the human characters, they give merely adequate back-seat support to the special effects that drive this big-budget thriller.",1/01/2000,11591,Independence Day
James Berardinelli,rotten,116629,ReelViews,"Unfortunately, and perhaps not unexpectedly, it doesn't live up to the hype.",1/01/2000,11591,Independence Day
Scott Rosenberg,rotten,116629,Salon.com,There's precious little reward in plumbing the world-historical implications of the screenplay.,1/01/2000,11591,Independence Day
Roger Ebert,rotten,116629,Chicago Sun-Times,"The aliens, when we finally see them, are a serious disappointment; couldn't they think of anything more interesting than octopus men?",1/01/2000,11591,Independence Day
Mike Clark,fresh,116629,USA Today,"Though the movie isn't too deep, it's certainly a rousing state-of-the-art cartoon capped by an aerial-combat climax that, to its credit, isn't anti-climactic.",1/01/2000,11591,Independence Day
Louis B. Parks,fresh,116629,Houston Chronicle,"You know going in that Independence Day will have terrific effects and loads of action. But the filmmakers have also carefully crafted appealing characters and several good relationships, which they develop as the story unfolds.",1/01/2000,11591,Independence Day
Desson Thomson,rotten,117737,Washington Post,[A] hilariously inscrutable exercise in pseudo-profundity.,7/12/2007,13262,Stealing Beauty
Jonathan Rosenbaum,fresh,117737,Chicago Reader,"A civilized, mellow, and generally graceful chamber piece.",7/12/2007,13262,Stealing Beauty
Geoff Andrew,fresh,117737,Time Out,A welcome reminder of Bertolucci's directorial assurance.,9/02/2006,13262,Stealing Beauty
Mick LaSalle,rotten,117737,San Francisco Chronicle,[Bertolucci] builds an homage to beauty around a sullen void.,18/06/2002,13262,Stealing Beauty
Peter Travers,fresh,117737,Rolling Stone,"In contrasting the sexuality and rebellion of Lucy's generation with his own, Bertolucci clearly yearns to rekindle his creative spirit.",12/05/2001,13262,Stealing Beauty
Jack Mathews,fresh,117737,Los Angeles Times,"Even a lesser Bertolucci is an event, and Stealing Beauty has its charms.",14/02/2001,13262,Stealing Beauty
Roger Ebert,rotten,117737,Chicago Sun-Times,"The movie plays like the kind of line a rich older guy would lay on a teenage model, suppressing his own intelligence and irony in order to spread out before her the wonderful world he would like to give her as a gift.",1/01/2000,13262,Stealing Beauty
Hal Hinson,fresh,117737,Washington Post,"It may not be epic in scale; in artistic terms, though, it's huge.",1/01/2000,13262,Stealing Beauty
James Berardinelli,rotten,117737,ReelViews,"What do you call a character study with shallow, sketchily-drawn characters, but a gorgeous setting? A scenery study, perhaps. Or an atmosphere study.",1/01/2000,13262,Stealing Beauty
Janet Maslin,fresh,117737,New York Times,"For all the film's missteps, there is cause to echo the uncritical compliment bestowed by the playwright (Jeremy Irons) upon the film's ingenue (Liv Tyler): 'I so enjoyed watching you.'",1/01/2000,13262,Stealing Beauty
,rotten,116277,USA Today,An awful but watchable baseball movie until it degenerates into an all-out howler.,1/01/2000,15191,The Fan
Mike Clark,fresh,116778,USA Today,"With maybe 25 belly laughs, the brazenly crude Kingpin is often uproarious, but be forewarned that its creators apparently conceived it underneath a limbo bar. How looow can a funny guilty pleasure go?",1/01/2000,13310,Kingpin
Richard Corliss,fresh,116213,TIME Magazine,"Welcome back, big guy.",24/08/2008,13738,Eraser
Todd McCarthy,rotten,116213,Variety,"The advanced weaponry and nifty scopes notwithstanding, most of the gunplay is pretty standard-issue, with most of the victims being anonymous targets present just to be picked off.",24/08/2008,13738,Eraser
,rotten,116213,Time Out,"It's a movie constructed around three or four self-consciously 'cool' episodes, and passably entertaining as such, but there's also an awful lot of uncool contrivance, coincidence and contempt for the audience.",26/01/2006,13738,Eraser
Mick LaSalle,rotten,116213,San Francisco Chronicle,"This is one of those movies where good guys don't miss, and bad guys can't shoot to save their lives.",18/06/2002,13738,Eraser
Rick Groen,fresh,116213,Globe and Mail,The bang-for-the-buck ratio is high enough to appease even the thinnest wallet.,12/04/2002,13738,Eraser
Kenneth Turan,rotten,116213,Los Angeles Times,"Arnold Schwarzenegger tries his hardest to look formidable, forbidding and stern in Eraser, but what he mostly looks is tired.",14/02/2001,13738,Eraser
Mike Clark,rotten,116213,USA Today,"The middling result, diverting while it lasts but too silly to recommend, is merely this week's funhouse action pic.",1/01/2000,13738,Eraser
Janet Maslin,rotten,116213,New York Times,"Even for escapism, this is on the crazy side.",1/01/2000,13738,Eraser
Roger Ebert,fresh,116213,Chicago Sun-Times,"Good action fun, with spectacular stunts and special effects.",1/01/2000,13738,Eraser
James Berardinelli,rotten,116213,ReelViews,The premise is moderately intriguing.,1/01/2000,13738,Eraser
Richard Schickel,fresh,117218,TIME Magazine,"[Murphy] is able to invest his Professor Klump with an endearing dignity, give his lounge lizard alter ego, Buddy Love, an alligator's bite and then go on from there to play Klump's grandma. Also his mother, father and brother.",6/06/2009,11123,The Nutty Professor
Variety Staff,fresh,117218,Variety,Murphy's most assured work in some time.,26/03/2009,11123,The Nutty Professor
Kevin McManus,fresh,117218,Washington Post,"This is good, seamless comedy.",20/08/2002,11123,The Nutty Professor
Edward Guthmann,fresh,117218,San Francisco Chronicle,"This is a chance to see Murphy doing what he does best, and for that alone it's worth seeing.",18/06/2002,11123,The Nutty Professor
,rotten,117218,Globe and Mail,The flick is sketch comedy spun out to feature length.,12/04/2002,11123,The Nutty Professor
Peter Travers,fresh,117218,Rolling Stone,"Eddie Murphy is funny again. Sadly, he lacks the guts to follow through on the cathartic self-satire that gives the film its distinction.",12/05/2001,11123,The Nutty Professor
Kenneth Turan,fresh,117218,Los Angeles Times,"Messy, raucous, crude and undisciplined though this remake of the 1963 Jerry Lewis vehicle is, it also creates more laughter (and poignancy) than any Eddie Murphy movie has in quite some time.",14/02/2001,11123,The Nutty Professor
Janet Maslin,fresh,117218,New York Times,"Murphy proves himself a surprisingly strong actor here, playing Sherman with sweetness and poignancy, not to mention loads of funny weight-related humor.",1/01/2000,11123,The Nutty Professor
James Berardinelli,rotten,117218,ReelViews,This movie is a little too interested in easy jokes to bother with having a heart.,1/01/2000,11123,The Nutty Professor
Roger Ebert,fresh,117218,Chicago Sun-Times,"The movie succeeds in two different ways: It's sweet and good-hearted, and then again it's raucous slapstick and bathroom humor.",1/01/2000,11123,The Nutty Professor
Mike Clark,fresh,117218,USA Today,"At long last again, an Eddie Murphy movie has its plug in the socket.",1/01/2000,11123,The Nutty Professor
Jonathan Rosenbaum,fresh,117218,Chicago Reader,"Murphy outdoes himself by bringing pathos as well as sweetness to the character, arguably making him a viable update of Lewis's bucktoothed Julius Kelp.",1/01/2000,11123,The Nutty Professor
Rita Kempley,fresh,117218,Washington Post,An uneven but hilarious remake.,1/01/2000,11123,The Nutty Professor
Susan Stark,fresh,117218,Detroit News,"The Nutty Professor isn't much of a movie, but it's certainly a prime showcase for Eddie Murphy's enormous talent.",1/01/2000,11123,The Nutty Professor
Emanuel Levy,fresh,106810,Variety,Sami Frey gives an astonishingly intense perfromance in his portrait of the genius and madness of the famed French poet-intellectual.,27/01/2006,770711645,En compagnie d'Antonin Artaud
Mike Clark,rotten,116040,USA Today,"Though the explosion that seals off New York and New Jersey will have even curious theater concession stand crews bolting their posts, the characterizations are strictly low-cal.",1/01/2000,12375,Daylight
Todd McCarthy,rotten,116365,Variety,"Story was originally conceived as an episode of ""Tales From the Crypt,"" and that is perhaps what it should have remained, as the thinness of the conceit shows throughout, painfully so in the first half.",26/03/2009,14032,The Frighteners
Nigel Floyd,fresh,116365,Time Out,"At times the relentless special effects and tangled plotting veer towards visual and narrative overkill, but the final tonal swerve is shocking and effective.",26/01/2006,14032,The Frighteners
Janet Maslin,rotten,116365,New York Times,"The actors can't keep the film's mood from verging on hysteria as the story roams all over the map. ""The Frighteners"" has flitted everywhere, even to heaven and hell, before it's over.",20/05/2003,14032,The Frighteners
Kenneth Turan,fresh,116365,Los Angeles Times,"Fortunately director Jackson, at home with all kinds of excess, keeps everything spinning nicely, not even losing a step when the mood turns increasingly disturbing.",14/02/2001,14032,The Frighteners
Roger Ebert,rotten,116365,Chicago Sun-Times,"Incredible, the amount of work that went into ``The Frighteners.'' And appalling.",1/01/2000,14032,The Frighteners
Mike Clark,rotten,116365,USA Today,A mess with sporadic flashes of creativity.,1/01/2000,14032,The Frighteners
Edward Guthmann,rotten,116365,San Francisco Chronicle,An object lesson in what to avoid when making the transition from low-budget films to studio productions.,1/01/2000,14032,The Frighteners
Ken Tucker,fresh,116365,Entertainment Weekly,The Frighteners is ... that rare horror film that actually gets better as it proceeds; this scare machine has a heart and a brain.,19/07/1996,14032,The Frighteners
Desson Thomson,rotten,116493,Washington Post,A very draggy affair because Harriet's exploits are treated like an episodic laundry list.,9/02/2002,11210,Harriet the Spy
Keith Simanton,rotten,116493,Film.com,"There's dancing, and bubble blowing and bed bouncing that's entirely aimless and Harriet's neighborhood sleuthing becomes particularly pointless.",1/01/2000,11210,Harriet the Spy
Tom Keogh,rotten,116493,Film.com,"The film's OK, a little thick with sensory overload, but it wasn't made for old guys like me.",1/01/2000,11210,Harriet the Spy
Rita Kempley,rotten,116493,Washington Post,...a tedious adaptation...,1/01/2000,11210,Harriet the Spy
Stacy Levine,fresh,116493,Film.com,"As the film progresses, the story becomes engaging.",1/01/2000,11210,Harriet the Spy
James Berardinelli,fresh,116493,ReelViews,"Harriet the Spy is an intelligent, insightful look at the tribulations of being a creative, misunderstood misfit at age eleven.",1/01/2000,11210,Harriet the Spy
Sean Means,rotten,116493,Film.com,"There's a certain amateurish quality about Harriet the Spy, but it's more the TV-trained grownups behind the camera...than the pint-sized thespians in front of it.",1/01/2000,11210,Harriet the Spy
Roger Ebert,rotten,116493,Chicago Sun-Times,...the pacing is slow and there are scenes that seem amateurish...,1/01/2000,11210,Harriet the Spy
Jay Carr,fresh,116493,Boston Globe,"Fresh and charming, it never plays down to kids.",1/01/2000,11210,Harriet the Spy
Peter Stack,rotten,116493,San Francisco Chronicle,"Harriet the Spy has real character in some of its details, but it never feels like much more than a low-budget TV show.",1/01/2000,11210,Harriet the Spy
Susan Wloszczyna,rotten,117333,USA Today,"Works best if you can switch off your brain. Those who can will reach weepy nirvana. Those who can't will find this sticky-sweet wallow a bit, well, dumb.",1/01/2000,10465,Phenomenon
Mike Clark,rotten,118113,USA Today,Comes perilously close to becoming a gab-fest treadmill.,1/01/2000,15389,Walking and Talking
Leonard Klady,fresh,117628,Variety,"Burns manages to take on a laundry list of touchy issues in a relatively frank, unflinching manner. His characters retain their dignity and integrity without false dramatic redemption. It's a true adult saga.",26/03/2009,13832,She's the One
Derek Adams,rotten,117628,Time Out,"A bland, so-so romantic comedy without the charm to see it through.",9/02/2006,13832,She's the One
Mick LaSalle,rotten,117628,San Francisco Chronicle,"She's the One isn't slick, smooth or particularly good, and it offers only a perfunctory exploration of the human heart.",18/06/2002,13832,She's the One
Rick Groen,fresh,117628,Globe and Mail,Edward Burns returns to the themes of family and love that he examined in The Brothers McMullen.,12/04/2002,13832,She's the One
Peter Travers,rotten,117628,Rolling Stone,"Sadly, the 28-year-old Irish auteur from New York lost his footing while stepping up the Hollywood food chain. Slickness set in.",12/05/2001,13832,She's the One
Mike Clark,fresh,117628,USA Today,"A funnier, more polished variation on actor/director Ed Burns' The Brothers McMullen.",1/01/2000,13832,She's the One
Janet Maslin,fresh,117628,New York Times,"Burns emphatically avoids sophomore slump with an inviting, ruefully funny film that lives up to his initial promise.",1/01/2000,13832,She's the One
Roger Ebert,rotten,117628,Chicago Sun-Times,"Although the movie disappointed me, it did not dishearten me about Edwards Burns as an actor or filmmaker.",1/01/2000,13832,She's the One
James Berardinelli,rotten,117628,ReelViews,"The sophomore jinx, the bane of hot, young film makers, has struck again.",1/01/2000,13832,She's the One
Jeff Millar,fresh,117628,Houston Chronicle,"A quality, offbeat movie.",1/01/2000,13832,She's the One
Cynthia Joyce,fresh,117628,Salon.com,Light but hilarious...,1/01/2000,13832,She's the One
Richard Schickel,fresh,117913,TIME Magazine,A likable -- maybe even lovable -- movie.,14/06/2009,98812198,A Time to Kill
Todd McCarthy,fresh,117913,Variety,"Although it has its share of implausibilities, A Time To Kill is generally the most satisfying of the John Grisham screen adaptations to date.",8/10/2008,98812198,A Time to Kill
Geoff Andrew,rotten,117913,Time Out,"Justice may be blind, but rarely have courtroom dramas presumed quite so heavily on cultural myopia as this heinous version of John Grisham's first novel.",9/02/2006,98812198,A Time to Kill
Janet Maslin,fresh,117913,New York Times,"If the film doesn't add up to a cogent legal argument, neither does it have trouble delivering 2 hours and 20 minutes' worth of sturdy, highly charged drama.",20/05/2003,98812198,A Time to Kill
Edward Guthmann,fresh,117913,San Francisco Chronicle,"Untrained as an actor, with only three minor roles to his credit, McConaughey holds the screen against Samuel L. Jackson, Sandra Bullock and Kevin Spacey, and completely justifies the buzz surrounding his role...",18/06/2002,98812198,A Time to Kill
Peter Travers,fresh,117913,Rolling Stone,"McConaughey, 26, is dynamite in a performance of smarts, sexiness, scrappy humor and unmistakable star sizzle.",6/06/2001,98812198,A Time to Kill
Roger Ebert,fresh,117913,Chicago Sun-Times,A skillfully constructed morality play that pushes all the right buttons and arrives at all the right conclusions.,1/01/2000,98812198,A Time to Kill
